service_id,date,exception_type
3263-exception,20131224,2
3263-exception,20131225,2
3263-exception,20131226,2
3263-exception,20131227,2
3263-exception,20131228,2
3263-exception,20131229,2
3263-exception,20131230,2
3263-exception,20131231,2
3263-exception,20140101,2
3263-exception,20140102,2
3263-exception,20140103,2
7561-exception,20131205,2
7561-exception,20131206,2
7561-exception,20131207,2
7561-exception,20131208,2
7561-exception,20131209,2
7561-exception,20131210,2
7561-exception,20131211,2
7561-exception,20131212,2
7561-exception,20131213,2
7561-exception,20131214,2
7561-exception,20131215,2
7561-exception,20131216,2
7561-exception,20131217,2
7561-exception,20131218,2
7561-exception,20131219,2
7561-exception,20131220,2
7561-exception,20131221,2
7561-exception,20131222,2
7561-exception,20131223,2
7561-exception,20131224,2
7561-exception,20131225,2
7561-exception,20131226,2
7561-exception,20131227,2
7561-exception,20131228,2
7561-exception,20131229,2
7561-exception,20131230,2
7561-exception,20131231,2
7561-exception,20140101,2
7561-exception,20140102,2
7561-exception,20140103,2
5001-exception,20131205,2
5001-exception,20131206,2
5001-exception,20131207,2
5001-exception,20131208,2
5001-exception,20131209,2
5001-exception,20131210,2
5001-exception,20131211,2
5001-exception,20131212,2
5001-exception,20131213,2
5001-exception,20131214,2
5001-exception,20131215,2
5001-exception,20131216,2
5001-exception,20131217,2
5001-exception,20131218,2
5001-exception,20131219,2
5001-exception,20131220,2
5001-exception,20131221,2
5001-exception,20131222,2
5001-exception,20131223,2
5001-exception,20131224,2
5001-exception,20131225,2
5001-exception,20131226,2
5001-exception,20131227,2
5001-exception,20131228,2
5001-exception,20131229,2
5001-exception,20131230,2
5001-exception,20131231,2
5001-exception,20140101,2
5001-exception,20140102,2
5001-exception,20140103,2
644-exception,20131205,2
644-exception,20131206,2
644-exception,20131207,2
644-exception,20131208,2
644-exception,20131209,2
644-exception,20131210,2
644-exception,20131211,2
644-exception,20131212,2
644-exception,20131213,2
644-exception,20131214,2
644-exception,20131215,2
644-exception,20131216,2
644-exception,20131217,2
644-exception,20131218,2
644-exception,20131219,2
644-exception,20131220,2
644-exception,20131221,2
644-exception,20131222,2
644-exception,20131223,2
644-exception,20131224,2
644-exception,20131225,2
644-exception,20131226,2
644-exception,20131227,2
644-exception,20131228,2
644-exception,20131229,2
644-exception,20131230,2
644-exception,20131231,2
644-exception,20140101,2
644-exception,20140102,2
644-exception,20140103,2
627-exception,20131205,2
627-exception,20131206,2
627-exception,20131207,2
627-exception,20131208,2
627-exception,20131209,2
627-exception,20131210,2
627-exception,20131211,2
627-exception,20131212,2
627-exception,20131213,2
627-exception,20131214,2
627-exception,20131215,2
627-exception,20131216,2
627-exception,20131217,2
627-exception,20131218,2
627-exception,20131219,2
627-exception,20131220,2
627-exception,20131221,2
627-exception,20131222,2
627-exception,20131223,2
627-exception,20131224,2
627-exception,20131225,2
627-exception,20131226,2
627-exception,20131227,2
627-exception,20131228,2
627-exception,20131229,2
627-exception,20131230,2
627-exception,20131231,2
627-exception,20140101,2
627-exception,20140102,2
627-exception,20140103,2
4921-exception,20131205,2
4921-exception,20131206,2
4921-exception,20131207,2
4921-exception,20131208,2
4921-exception,20131209,2
4921-exception,20131210,2
4921-exception,20131211,2
4921-exception,20131212,2
4921-exception,20131213,2
4921-exception,20131214,2
4921-exception,20131215,2
4921-exception,20131216,2
4921-exception,20131217,2
4921-exception,20131218,2
4921-exception,20131219,2
4921-exception,20131220,2
4921-exception,20131221,2
4921-exception,20131222,2
4921-exception,20131223,2
4921-exception,20131224,2
4921-exception,20131225,2
4921-exception,20131226,2
4921-exception,20131227,2
4921-exception,20131228,2
4921-exception,20131229,2
4921-exception,20131230,2
4921-exception,20131231,2
4921-exception,20140101,2
4921-exception,20140102,2
4921-exception,20140103,2
7347-exception,20131205,2
